"","x"
"1",1.339101583
"2",0.523821269
"3",0.6870954
"4",0.802247183
"5",0.59124797
"6",0.704337948
"7",0.733913587
"8",0.52938266
"9",0.471361714
"10",0.291903334
"11",0.97975685
"12",0.894280429
"13",1.597194202
"14",2.156294533
"15",3.308910143
"16",2.32610027116893
"17",1.83469533525339
"18",3.729847385
"19",1.625987538
"20",0.61620151
"21",0.828563783
"22",0.696986539
"23",0.81418385
"24",0.689001563
"25",0.866947926
"26",1.401243149
"27",1.083298133
"28",0.691189733
"29",1.139536731
"30",1.633499455
"31",1.48839492716893
"32",1.41584266325339
"33",1.37956653129562
"34",1.36142846531674
"35",1.3523594323273
"36",3.359421213
"37",2.269196439
"38",1.110315368
"39",1.927625106
"40",2.713041002
"41",3.210022835
"42",3.238086162
"43",1.977227324
"44",2.816593189
"45",3.450591765
"46",2.39694108216893
"47",2.075240926
"48",1.70926566266893
"49",1.52627803100339
"50",1.43478421517062
"51",1.38903730725424
"52",1.36616385329605
"53",1.35472712631695
"54",1.3490087628274
"55",1.34614958108263
"56",1.34471999021024
"57",1.34400519477405
"58",1.34364779705595
"59",1.34346909819691
"60",1.34337974876738
"61",1.34333507405262
"62",1.34331273669524
"63",1.34330156801655
"64",1.3432959836772
"65",1.34329319150753
"66",1.34329179542269
"67",3.762332549
"68",2.55281147416893
"69",1.94805093675339
"70",1.64567066804562
"71",1.49448053369174
"72",1.4188854665148
"73",1.38108793292633
"74",3.542561031
"75",2.44292571516893
"76",1.89310805725339
"77",3.114731119
"78",2.732751591
"79",3.006086168
"80",2.17468828366893
"81",3.266315218
"82",2.92868201
"83",3.800579955
"84",3.435805926
"85",3.554538416
"86",3.110369379
"87",2.22682988916893
"88",1.78506014425339
"89",2.458374971
"90",2.962585313
"91",1.99683944
"92",1.703972301
"93",2.312646955
"94",2.501408942
"95",2.489494108
"96",2.042270098
"97",2.508058681
"98",2.730309649
"99",2.192218316
"100",2.205612039
"101",2.240889011
"102",2.253465336
"103",1.738454952
"104",1.33622941
"105",2.30235228
"106",1.770775756
"107",1.583205768
"108",1.647038882
"109",1.999830576
"110",2.789410766
"111",2.387825965
"112",1.143725007
"113",1.197449381
"114",1.55091296
"115",1.484719692
"116",1.19201176
"117",1.426360729
"118",1.70053154
"119",1.68663824
"120",1.58260567
"121",1.254886647
"122",0.15772216
"123",1.284806157
"124",0.805422876
"125",0.909821046
"126",2.511219699
"127",1.469948629
"128",1.078224576
"129",0.763533166
"130",2.633939024
"131",1.717447633
"132",2.77851243
"133",1.784619615
"134",0.88623483
"135",2.048279079
"136",1.646007239
"137",2.399225242
"138",1.853643485
"139",2.395945833
"140",1.677737687
"141",1.378683599
"142",1.490195203
"143",1.381105422
"144",1.394187922
"145",1.700252687
"146",1.542129938
"147",1.07372638
"148",2.297979019
"149",1.993739988
"150",2.135212539
"151",1.413317123
"152",0.909704875
"153",1.718574718
"154",2.311347214
"155",1.62127975
"156",1.694077715
"157",2.242795491
"158",1.999033197
"159",2.330098315
"160",2.113269692
"161",2.49137654
"162",3.371467609
"163",NA
